#TAXONOMY,Domain,Phylum,Class,Order,Family,Genus,Species
ASV89,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Cutaneotrichosporon,s__Cutaneotrichosporon_cyanovorans
ASV90,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,
ASV91,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,,
ASV92,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_sympodialis
ASV93,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,
ASV94,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,
ASV95,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_railenensis
ASV96,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Chalastospora,s__Chalastospora_gossypii
ASV97,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV98,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Didymella,s__Didymella_exigua
ASV99,k__Fungi,p__Basidiomycota,,,,,
ASV100,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__unidentified
ASV101,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Coriolaceae,g__Trametes,s__Trametes_cubensis
ASV102,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Tausonia,s__Tausonia_pullulans
ASV103,k__Fungi,,,,,,
ASV104,k__Fungi,,,,,,
ASV105,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__Cystofilobasidium_capitatum
ASV106,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,s__Talaromyces_minioluteus
ASV107,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_restricta
ASV108,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,
ASV109,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_polonicum
ASV110,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_ruber
ASV111,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__unidentified,g__unidentified,s__unidentified
ASV112,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_taibaiensis
ASV113,k__Fungi,,,,,,
ASV114,k__Fungi,p__Basidiomycota,c__Wallemiomycetes,o__Wallemiales,f__Wallemiaceae,g__Wallemia,s__Wallemia_ichthyophaga
ASV115,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__Monilinia,s__Monilinia_laxa
ASV116,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV117,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,
ASV118,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV119,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Baeospora,s__Baeospora_myosura
ASV120,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_globosa
ASV121,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Hannaella,s__Hannaella_zeae
ASV122,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_globosa
ASV123,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,s__Talaromyces_minioluteus
ASV124,k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae,g__Malassezia,s__Malassezia_arunalokei
