#OTU ID	F1_06	F1_12	F1_18	F5_06	F5_12	F5_18	M6_06	M6_12	M6_18	M2_12	M2_18	M3_06	M3_12	M3_18	F2_06	F2_12	F3_06	F3_12	F3_18	M4_06	M4_12	M4_18	F4_06	F4_12	M5_06	M5_12	M5_18	M1_06	M1_12	M1_18
ASV18	1.0	0.0	1.0	0.0	0.0	5.0	670.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16068.0	14.0	0.0	0.0
ASV30	5.0	0.0	5.0	0.0	2.0	752.0	0.0	3.0	1195.0	0.0	0.0	1135.0	55.0	396.0	0.0	0.0	0.0	51.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	7.0	0.0
ASV83	4.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	630.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	40.0	96.0	0.0	1.0	0.0
ASV9	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33217.0	5.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV89	1.0	0.0	345.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0
ASV61	3.0	0.0	958.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	10.0	0.0
ASV67	1.0	0.0	976.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV64	1.0	0.0	216.0	0.0	0.0	0.0	0.0	620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ASV93	2.0	0.0	1.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ASV98	1.0	0.0	345.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
